audit_timestamp,model_description,overall_status,rule_metric_name,rule_sensitive_feature,rule_operator,threshold_min,threshold_max,actual_value,rule_status,source_excerpt,confidence,disparate_impact_ratio,demographic_parity_difference,selection_rate_min,selection_rate_max,row_count,tp,tn,fp,fn,precision,recall,f1_score,classification_accuracy
2026-05-20T22:28:35.295864,loan,PASSED,disparate_impact_ratio,,>=,0.8,,0.9714,PASS,,,0.9714,0.028,0.25,0.25,1000,822,28,141,9,0.8372,0.85,0.8075,0.85
2026-05-20T22:28:35.295864,loan,PASSED,demographic_parity_difference,,between,-0.1,0.1,0.028,PASS,,,0.9714,0.028,0.25,0.25,1000,822,28,141,9,0.8372,0.85,0.8075,0.85
2026-05-20T22:28:35.295864,loan,PASSED,classification_accuracy,,>=,0.7,,0.85,PASS,,,0.9714,0.028,0.25,0.25,1000,822,28,141,9,0.8372,0.85,0.8075,0.85
