audit_timestamp,model_description,overall_status,rule_metric_name,rule_sensitive_feature,rule_operator,threshold_min,threshold_max,actual_value,rule_status,source_excerpt,confidence,disparate_impact_ratio,demographic_parity_difference,selection_rate_min,selection_rate_max,row_count,tp,tn,fp,fn,precision,recall,f1_score,classification_accuracy
2026-05-20T22:47:00.216753,fraud,PASSED,disparate_impact_ratio,,>=,0.8,,0.9417,PASS,,,0.9417,0.0001,0.485,0.515,1000,2,848,0,150,0.8725,0.85,0.783,0.85
2026-05-20T22:47:00.216753,fraud,PASSED,demographic_parity_difference,,between,-0.1,0.1,0.0001,PASS,,,0.9417,0.0001,0.485,0.515,1000,2,848,0,150,0.8725,0.85,0.783,0.85
2026-05-20T22:47:00.216753,fraud,PASSED,classification_accuracy,,>=,0.7,,0.85,PASS,,,0.9417,0.0001,0.485,0.515,1000,2,848,0,150,0.8725,0.85,0.783,0.85
