audit_timestamp,model_description,overall_status,rule_metric_name,rule_sensitive_feature,rule_operator,threshold_min,threshold_max,actual_value,rule_status,source_excerpt,confidence,disparate_impact_ratio,demographic_parity_difference,selection_rate_min,selection_rate_max,row_count
2026-05-08T14:18:10.547040,loan eligibility,FAIL,demographic_parity_difference,Gender,<=,,0.1,0.0582,FAIL,"The rejection rate disparity between any two demographic groups, after controlling for creditworthiness indicators, shall not exceed 10 percentage points.",1.0,0.8927,0.0582,0.4839,0.5421,200
2026-05-08T14:18:10.547040,loan eligibility,FAIL,disparate_impact_ratio,Gender,>=,0.8,,0.8927,PASS,Inferred (industry default),0.5,0.8927,0.0582,0.4839,0.5421,200
