audit_timestamp,model_description,overall_status,rule_metric_name,rule_sensitive_feature,rule_operator,threshold_min,threshold_max,actual_value,rule_status,source_excerpt,confidence,disparate_impact_ratio,demographic_parity_difference,selection_rate_min,selection_rate_max,row_count
2026-05-20T00:22:21.735302,loan,PASS,disparate_impact_ratio,gender,>=,0.8,,0.0,FAIL,No explicit policy context found; inferred industry default.,0.5,0.0,1.0,0.0,1.0,1000
2026-05-20T00:22:21.735302,loan,PASS,demographic_parity_difference,gender,<=,,0.1,1.0,FAIL,No explicit policy context found; inferred industry default.,0.5,0.0,1.0,0.0,1.0,1000
