audit_timestamp,model_description,overall_status,rule_metric_name,rule_sensitive_feature,rule_operator,threshold_min,threshold_max,actual_value,rule_status,source_excerpt,confidence,disparate_impact_ratio,demographic_parity_difference,selection_rate_min,selection_rate_max,row_count,tp,tn,fp,fn,precision,recall,f1_score,classification_accuracy
2026-05-20T21:57:44.160856,fraud,PASSED,disparate_impact_ratio,,>=,0.8,,0.9094,PASS,,,0.9094,0.0023,0.48200000000000004,0.518,10,0,973,24,3,0.9939,0.973,0.9834,0.973
2026-05-20T21:57:44.160856,fraud,PASSED,demographic_parity_difference,,between,-0.1,0.1,0.0023,PASS,,,0.9094,0.0023,0.48200000000000004,0.518,10,0,973,24,3,0.9939,0.973,0.9834,0.973
2026-05-20T21:57:44.160856,fraud,PASSED,classification_accuracy,,>=,0.7,,0.973,PASS,,,0.9094,0.0023,0.48200000000000004,0.518,10,0,973,24,3,0.9939,0.973,0.9834,0.973
