audit_timestamp,model_description,overall_status,rule_metric_name,rule_sensitive_feature,rule_operator,threshold_min,threshold_max,actual_value,rule_status,source_excerpt,confidence,disparate_impact_ratio,demographic_parity_difference,selection_rate_min,selection_rate_max,row_count
2026-05-20T00:29:48.280221,loan,FAIL,demographic_parity_difference,gender,<=,,0.005,1.0,FAIL,The difference in interest rates offered to applicants from different demographic groups... shall not exceed 50 basis points (0.5%).,1.0,0.0,1.0,0.0,1.0,1000
2026-05-20T00:29:48.280221,loan,FAIL,demographic_parity_difference,gender,<=,,0.1,1.0,FAIL,The rejection rate disparity between any two demographic groups... shall not exceed 10 percentage points.,1.0,0.0,1.0,0.0,1.0,1000
2026-05-20T00:29:48.280221,loan,FAIL,disparate_impact_ratio,gender,>=,0.8,,0.0,FAIL,Inferred industry default.,0.5,0.0,1.0,0.0,1.0,1000
